Frame,Total_Veh,Turismos,Motos,Buses,Camiones,Densidad_k,LOS,Riesgos
225,2,2,0,0,0,76.13951593180397,E (Capacidad),
226,2,2,0,0,0,76.13951593180397,E (Capacidad),
227,2,2,0,0,0,76.13951593180397,E (Capacidad),
228,2,2,0,0,0,76.13951593180397,E (Capacidad),
229,2,2,0,0,0,76.13951593180397,E (Capacidad),
230,2,2,0,0,0,76.13951593180397,E (Capacidad),
231,2,2,0,0,0,76.13951593180397,E (Capacidad),
232,2,2,0,0,0,76.13951593180397,E (Capacidad),
233,2,2,0,0,0,76.13951593180397,E (Capacidad),
234,3,3,0,0,0,114.20927389770596,F (Colapso),
235,3,3,0,0,0,114.20927389770596,F (Colapso),
236,3,3,0,0,0,114.20927389770596,F (Colapso),
237,2,2,0,0,0,76.13951593180397,E (Capacidad),
238,2,2,0,0,0,76.13951593180397,E (Capacidad),
239,2,2,0,0,0,76.13951593180397,E (Capacidad),
240,2,2,0,0,0,76.13951593180397,E (Capacidad),
241,2,2,0,0,0,76.13951593180397,E (Capacidad),
242,3,3,0,0,0,114.20927389770596,F (Colapso),
243,2,2,0,0,0,76.13951593180397,E (Capacidad),
244,2,2,0,0,0,76.13951593180397,E (Capacidad),
245,3,3,0,0,0,114.20927389770596,F (Colapso),
246,2,2,0,0,0,76.13951593180397,E (Capacidad),
247,3,3,0,0,0,114.20927389770596,F (Colapso),
248,3,3,0,0,0,114.20927389770596,F (Colapso),
249,3,3,0,0,0,114.20927389770596,F (Colapso),
250,3,3,0,0,0,114.20927389770596,F (Colapso),
251,3,3,0,0,0,114.20927389770596,F (Colapso),
252,2,2,0,0,0,76.13951593180397,E (Capacidad),
253,2,2,0,0,0,76.13951593180397,E (Capacidad),
254,2,2,0,0,0,76.13951593180397,E (Capacidad),
255,2,2,0,0,0,76.13951593180397,E (Capacidad),
256,2,2,0,0,0,76.13951593180397,E (Capacidad),
257,2,2,0,0,0,76.13951593180397,E (Capacidad),
258,2,2,0,0,0,76.13951593180397,E (Capacidad),
259,2,2,0,0,0,76.13951593180397,E (Capacidad),
260,4,4,0,0,0,152.27903186360794,F (Colapso),
261,2,2,0,0,0,76.13951593180397,E (Capacidad),
262,2,2,0,0,0,76.13951593180397,E (Capacidad),
263,2,2,0,0,0,76.13951593180397,E (Capacidad),
264,3,3,0,0,0,114.20927389770596,F (Colapso),⚠️ STOP ID:319
265,3,3,0,0,0,114.20927389770596,F (Colapso),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
266,3,3,0,0,0,114.20927389770596,F (Colapso),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
267,3,3,0,0,0,114.20927389770596,F (Colapso),⚠️ STOP ID:313
268,3,3,0,0,0,114.20927389770596,F (Colapso),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
269,4,4,0,0,0,152.27903186360794,F (Colapso),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
270,3,3,0,0,0,114.20927389770596,F (Colapso),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
271,4,4,0,0,0,152.27903186360794,F (Colapso),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
272,4,4,0,0,0,152.27903186360794,F (Colapso),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
273,3,3,0,0,0,114.20927389770596,F (Colapso),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
274,2,2,0,0,0,76.13951593180397,E (Capacidad),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
275,2,2,0,0,0,76.13951593180397,E (Capacidad),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
276,3,3,0,0,0,114.20927389770596,F (Colapso),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
277,3,3,0,0,0,114.20927389770596,F (Colapso),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
278,3,3,0,0,0,114.20927389770596,F (Colapso),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
279,3,3,0,0,0,114.20927389770596,F (Colapso),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
280,3,3,0,0,0,114.20927389770596,F (Colapso),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
281,2,2,0,0,0,76.13951593180397,E (Capacidad),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
282,3,3,0,0,0,114.20927389770596,F (Colapso),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
283,3,3,0,0,0,114.20927389770596,F (Colapso),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
284,3,3,0,0,0,114.20927389770596,F (Colapso),⚠️ STOP ID:319
285,2,2,0,0,0,76.13951593180397,E (Capacidad),⚠️ STOP ID:319
286,2,2,0,0,0,76.13951593180397,E (Capacidad),⚠️ STOP ID:319
287,2,2,0,0,0,76.13951593180397,E (Capacidad),⚠️ STOP ID:319
288,2,2,0,0,0,76.13951593180397,E (Capacidad),⚠️ STOP ID:319
289,3,3,0,0,0,114.20927389770596,F (Colapso),
290,2,2,0,0,0,76.13951593180397,E (Capacidad),⚠️ STOP ID:313
291,2,2,0,0,0,76.13951593180397,E (Capacidad),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
292,2,2,0,0,0,76.13951593180397,E (Capacidad),⚠️ STOP ID:319
293,3,3,0,0,0,114.20927389770596,F (Colapso),⚠️ STOP ID:319
