Frame,Total,Turismos,Motos,Buses,Camiones,Bicis,Densidad,LOS
315,0,0,0,0,0,0,0.0,A (Libre)
316,0,0,0,0,0,0,0.0,A (Libre)
317,0,0,0,0,0,0,0.0,A (Libre)
318,0,0,0,0,0,0,0.0,A (Libre)
319,0,0,0,0,0,0,0.0,A (Libre)
320,0,0,0,0,0,0,0.0,A (Libre)
321,0,0,0,0,0,0,0.0,A (Libre)
322,0,0,0,0,0,0,0.0,A (Libre)
323,0,0,0,0,0,0,0.0,A (Libre)
324,0,0,0,0,0,0,0.0,A (Libre)
325,0,0,0,0,0,0,0.0,A (Libre)
326,0,0,0,0,0,0,0.0,A (Libre)
327,0,0,0,0,0,0,0.0,A (Libre)
328,0,0,0,0,0,0,0.0,A (Libre)
329,0,0,0,0,0,0,0.0,A (Libre)
330,0,0,0,0,0,0,0.0,A (Libre)
331,0,0,0,0,0,0,0.0,A (Libre)
332,0,0,0,0,0,0,0.0,A (Libre)
333,0,0,0,0,0,0,0.0,A (Libre)
334,0,0,0,0,0,0,0.0,A (Libre)
335,0,0,0,0,0,0,0.0,A (Libre)
336,0,0,0,0,0,0,0.0,A (Libre)
337,0,0,0,0,0,0,0.0,A (Libre)
338,0,0,0,0,0,0,0.0,A (Libre)
339,0,0,0,0,0,0,0.0,A (Libre)
340,0,0,0,0,0,0,0.0,A (Libre)
341,0,0,0,0,0,0,0.0,A (Libre)
342,0,0,0,0,0,0,0.0,A (Libre)
343,0,0,0,0,0,0,0.0,A (Libre)
344,0,0,0,0,0,0,0.0,A (Libre)
345,0,0,0,0,0,0,0.0,A (Libre)
346,0,0,0,0,0,0,0.0,A (Libre)
347,0,0,0,0,0,0,0.0,A (Libre)
348,0,0,0,0,0,0,0.0,A (Libre)
349,0,0,0,0,0,0,0.0,A (Libre)
350,0,0,0,0,0,0,0.0,A (Libre)
351,0,0,0,0,0,0,0.0,A (Libre)
352,0,0,0,0,0,0,0.0,A (Libre)
353,0,0,0,0,0,0,0.0,A (Libre)
354,0,0,0,0,0,0,0.0,A (Libre)
355,0,0,0,0,0,0,0.0,A (Libre)
356,0,0,0,0,0,0,0.0,A (Libre)
357,0,0,0,0,0,0,0.0,A (Libre)
358,0,0,0,0,0,0,0.0,A (Libre)
359,0,0,0,0,0,0,0.0,A (Libre)
