Frame,Ocupacion_Actual,Flujo_Acumulado,Densidad,LOS,Inst_Coches,Inst_Motos,Inst_Bicis,Acum_Coches,Acum_Motos,Acum_Bicis,Acum_Buses,Acum_Camiones,Incidentes_Total,Incidentes_Frame
354,2,1,184.01270423798218,F,1,1,0,0,1,0,0,0,13,0
355,2,1,184.01270423798218,F,1,1,0,0,1,0,0,0,13,0
356,1,1,92.00635211899109,F,1,0,0,0,1,0,0,0,13,0
357,2,1,184.01270423798218,F,1,1,0,0,1,0,0,0,13,0
358,2,1,184.01270423798218,F,1,1,0,0,1,0,0,0,13,0
359,2,1,184.01270423798218,F,1,1,0,0,1,0,0,0,13,0
360,2,1,184.01270423798218,F,1,1,0,0,1,0,0,0,14,0
361,2,1,184.01270423798218,F,1,1,0,0,1,0,0,0,14,0
362,2,1,184.01270423798218,F,1,1,0,0,1,0,0,0,14,0
363,2,1,184.01270423798218,F,1,1,0,0,1,0,0,0,14,0
364,1,1,92.00635211899109,F,1,0,0,0,1,0,0,0,14,0
365,1,1,92.00635211899109,F,1,0,0,0,1,0,0,0,14,0
366,1,1,92.00635211899109,F,1,0,0,0,1,0,0,0,14,0
367,1,1,92.00635211899109,F,1,0,0,0,1,0,0,0,14,0
368,1,1,92.00635211899109,F,1,0,0,0,1,0,0,0,14,0
369,1,1,92.00635211899109,F,1,0,0,0,1,0,0,0,14,0
370,1,1,92.00635211899109,F,1,0,0,0,1,0,0,0,14,0
371,1,1,92.00635211899109,F,1,0,0,0,1,0,0,0,14,0
372,1,1,92.00635211899109,F,1,0,0,0,1,0,0,0,15,1
373,1,1,92.00635211899109,F,1,0,0,0,1,0,0,0,15,0
374,1,1,92.00635211899109,F,1,0,0,0,1,0,0,0,15,0
375,2,1,184.01270423798218,F,2,0,0,0,1,0,0,0,15,0
376,1,1,92.00635211899109,F,1,0,0,0,1,0,0,0,15,0
377,2,1,184.01270423798218,F,2,0,0,0,1,0,0,0,15,0
378,1,1,92.00635211899109,F,1,0,0,0,1,0,0,0,15,0
379,1,1,92.00635211899109,F,1,0,0,0,1,0,0,0,15,0
380,1,1,92.00635211899109,F,1,0,0,0,1,0,0,0,15,0
381,1,1,92.00635211899109,F,1,0,0,0,1,0,0,0,15,0
382,1,1,92.00635211899109,F,1,0,0,0,1,0,0,0,15,0
383,1,1,92.00635211899109,F,1,0,0,0,1,0,0,0,15,0
384,1,1,92.00635211899109,F,1,0,0,0,1,0,0,0,15,0
385,1,1,92.00635211899109,F,1,0,0,0,1,0,0,0,15,0
386,1,1,92.00635211899109,F,1,0,0,0,1,0,0,0,15,0
387,1,1,92.00635211899109,F,1,0,0,0,1,0,0,0,15,0
388,1,1,92.00635211899109,F,1,0,0,0,1,0,0,0,15,0
389,1,1,92.00635211899109,F,1,0,0,0,1,0,0,0,15,0
390,1,1,92.00635211899109,F,1,0,0,0,1,0,0,0,15,0
391,1,1,92.00635211899109,F,1,0,0,0,1,0,0,0,15,0
392,1,1,92.00635211899109,F,1,0,0,0,1,0,0,0,15,0
393,1,1,92.00635211899109,F,1,0,0,0,1,0,0,0,15,0
394,1,1,92.00635211899109,F,1,0,0,0,1,0,0,0,15,0
395,1,1,92.00635211899109,F,1,0,0,0,1,0,0,0,15,0
396,1,1,92.00635211899109,F,1,0,0,0,1,0,0,0,15,0
397,1,1,92.00635211899109,F,1,0,0,0,1,0,0,0,15,0
